lakeid,depth,hp_factor,vols
ME,0.25,0.0388,19191952.821270443
ME,1,0.0738,36504281.397158735
ME,2,0.0691,34179482.988396585
ME,3,0.065,32151467.355221108
ME,4,0.0616,30469698.29356339
ME,5,0.0589,29134175.803423434
ME,6,0.0568,28095436.088870138
ME,7,0.0549,27155623.966179054
ME,8,0.0532,26314739.435350195
ME,9,0.0515,25473854.904521335
ME,10,0.0499,24682434.169623587
ME,11,0.0481,23792085.842863616
ME,12,0.0459,22703882.332379214
ME,13,0.0432,21368359.842239257
ME,14,0.0401,19834982.168374866
ME,15,0.0368,18202676.902648255
ME,16,0.0332,16421980.24912832
ME,17,0.0296,14641283.595608382
ME,18,0.0257,12712195.554295113
ME,19,0.0214,10585252.32925741
ME,20,0.0168,8309917.716426377
ME,21,0.012,5935655.511733127
ME,22,0.0076,3759248.490764314
ME,23,0.0042,2077479.4291065943
ME,24,0.0016,791420.7348977503
ME,25,2e-4,98927.59186221879
